DMA,retail_month,gross_bookings
louisville,10/1/18,5315
nashville,1/1/19,5291
louisville,2/1/19,5275
pittsburgh,10/1/18,5273
albany-schenectady-troy,4/1/19,5245
fresno-visalia,10/1/18,5230
medford-klamath falls,4/1/19,5230
"charleston, sc",9/1/18,5230
charlotte,2/1/19,5220
phoenix,8/1/18,5180
lansing,12/1/18,5140
spokane,3/1/19,5125
baltimore,10/1/18,5125
johnstown-altoona,10/1/18,5125
albuquerque-santa fe,3/1/19,5080
spokane,10/1/18,5070
roanoke-lynchburg,5/1/19,5059
cincinnati,9/1/18,5020
greensboro-high point-winston salem,3/1/19,4965
kansas city,7/1/18,4935
greenville-spartanburg-asheville,5/1/19,4930
des moines-ames,6/1/18,4920
"springfield, mo",5/1/19,4920
eugene,4/1/19,4896
augusta,9/1/18,4880
norfolk-portsmouth-newport news,7/1/18,4875
"columbia, sc",3/1/19,4830
tucson-sierra vista,3/1/19,4809
greenville-spartanburg-asheville,10/1/18,4785
indianapolis,1/1/19,4775
johnstown-altoona,5/1/19,4770
butte-bozeman,11/1/18,4763
louisville,1/1/19,4760
madison,9/1/18,4735
las vegas,7/1/18,4735
miami-fort lauderdale,6/1/18,4725
dayton,2/1/19,4725
albany-schenectady-troy,7/1/18,4720
"rochester, ny",10/1/18,4680
boise,1/1/19,4680
toledo,7/1/18,4680
cedar rapids-waterloo-dubuque,2/1/19,4670
little rock-pine bluff,5/1/19,4659
las vegas,6/1/18,4630
orlando-daytona beach-melbourne,1/1/19,4625
odessa-midland,11/1/18,4607
santa barbara-san mar-san luis obispo,3/1/19,4605
flint-saginaw-bay city,11/1/18,4575
san diego,8/1/18,4575
charlottesville,5/1/19,4525
el paso,11/1/18,4506
harrisburg-lancaster-lebanon-york,7/1/18,4480
monterey-salinas,3/1/19,4473
milwaukee,3/1/19,4465
mobile-pensacola,5/1/19,4380
madison,3/1/19,4373
fresno-visalia,2/1/19,4373
new orleans,4/1/19,4348
harrisburg-lancaster-lebanon-york,2/1/19,4335
des moines-ames,2/1/19,4330
orlando-daytona beach-melbourne,10/1/18,4280
"columbus, ga",10/1/18,4280
baton rouge,4/1/19,4280
colorado springs-pueblo,6/1/18,4230
south bend-elkhart,10/1/18,4225
tulsa,5/1/19,4195
spokane,5/1/19,4185
las vegas,3/1/19,4175
new orleans,6/1/18,4175
madison,10/1/18,4130
"charleston, sc",7/1/18,4130
syracuse,9/1/18,4130
fresno-visalia,7/1/18,4125
boise,4/1/19,4075
lansing,6/1/18,4070
memphis,1/1/19,4054
harrisburg-lancaster-lebanon-york,8/1/18,4035
columbia-jefferson city,2/1/19,4025
lincoln-hastings-kearney plus,3/1/19,4013
traverse city-cadillac,11/1/18,4001
greensboro-high point-winston salem,12/1/18,4001
gainesville,4/1/19,4000
huntsville-decatur-florence,5/1/19,3990
green bay-appleton,3/1/19,3985
boise,10/1/18,3980
roanoke-lynchburg,12/1/18,3939
syracuse,8/1/18,3930
myrtle beach-florence,5/1/19,3930
detroit,8/1/18,3930
roanoke-lynchburg,11/1/18,3930
greensboro-high point-winston salem,9/1/18,3930
colorado springs-pueblo,2/1/19,3930
lincoln-hastings-kearney plus,11/1/18,3930
"rochester, ny",11/1/18,3927
santa barbara-san mar-san luis obispo,11/1/18,3904
myrtle beach-florence,2/1/19,3890
monterey-salinas,5/1/19,3880
wichita-hutchinson plus,3/1/19,3880
paducah-cape girardeau-harrisburg,7/1/18,3880
champaign-springfield-decatur,11/1/18,3875
birmingham,6/1/18,3875
huntsville-decatur-florence,1/1/19,3839
cedar rapids-waterloo-dubuque,4/1/19,3838
"columbia, sc",5/1/19,3835
colorado springs-pueblo,7/1/18,3830
spokane,9/1/18,3825
louisville,8/1/18,3785
tallahassee-thomasville,2/1/19,3785
greenville-spartanburg-asheville,12/1/18,3780
roanoke-lynchburg,7/1/18,3735
"rochester, ny",3/1/19,3730
greensboro-high point-winston salem,11/1/18,3678
"columbus, oh",1/1/19,3675
sioux falls (mitchell),2/1/19,3670
san antonio,4/1/19,3650
reno,12/1/18,3635
green bay-appleton,7/1/18,3635
savannah,6/1/18,3635
savannah,10/1/18,3635
"columbia, sc",2/1/19,3635
norfolk-portsmouth-newport news,9/1/18,3635
birmingham,9/1/18,3635
chico-redding,6/1/18,3630
"columbia, sc",7/1/18,3630
roanoke-lynchburg,8/1/18,3625
peoria-bloomington,5/1/19,3585
charlottesville,2/1/19,3585
reno,11/1/18,3577
waco-temple-bryan,10/1/18,3530
savannah,9/1/18,3530
greensboro-high point-winston salem,6/1/18,3530
butte-bozeman,2/1/19,3530
south bend-elkhart,2/1/19,3490
san antonio,10/1/18,3485
champaign-springfield-decatur,1/1/19,3475
cincinnati,3/1/19,3435
missoula,7/1/18,3390
wausau-rhinelander,12/1/18,3382
charlottesville,4/1/19,3380
west palm beach-ft pierce,11/1/18,3375
san angelo,2/1/19,3335
champaign-springfield-decatur,7/1/18,3335
idaho falls-pocatello,11/1/18,3335
louisville,5/1/19,3310
tucson-sierra vista,4/1/19,3305
huntsville-decatur-florence,2/1/19,3285
san francisco-oakland-san jose,5/1/18,3285
lexington,2/1/19,3285
harrisburg-lancaster-lebanon-york,3/1/19,3285
wilmington,3/1/19,3285
butte-bozeman,4/1/19,3265
minot-bismarck-dickinson,5/1/19,3265
louisville,4/1/19,3259
syracuse,12/1/18,3254
jacksonville,8/1/18,3235
salisbury,12/1/18,3235
indianapolis,10/1/18,3235
traverse city-cadillac,2/1/19,3233
syracuse,2/1/19,3214
wilkes barre-scranton,10/1/18,3190
"jackson, ms",5/1/19,3190
cheyenne-scottsbluff,1/1/19,3190
birmingham,2/1/19,3184
"jackson, ms",2/1/19,3180
parkersburg,12/1/18,3180
"columbus, ga",1/1/19,3168
champaign-springfield-decatur,2/1/19,3140
columbia-jefferson city,4/1/19,3140
charlotte,8/1/18,3140
reno,10/1/18,3140
sacramento-stockton-modesto,10/1/18,3140
knoxville,7/1/18,3140
green bay-appleton,6/1/18,3135
fort smith-fay-sprngdl,6/1/18,3135
syracuse,1/1/19,3135
amarillo,12/1/18,3125
fargo-valley city,9/1/18,3125
evansville,11/1/18,3120
twin falls,1/1/19,3090
knoxville,10/1/18,3090
spokane,12/1/18,3085
bakersfield,2/1/19,3085
lansing,1/1/19,3085
"charleston, sc",1/1/19,3085
"columbia, sc",4/1/19,3085
las vegas,8/1/18,3085
harrisonburg,3/1/19,3085
topeka,5/1/19,3085
bakersfield,11/1/18,3050
santa barbara-san mar-san luis obispo,4/1/19,3035
las vegas,12/1/18,3035
birmingham,11/1/18,3030
"columbus, oh",8/1/18,3030
fort smith-fay-sprngdl,9/1/18,3030
tampa-st petersburg-sarasota,10/1/18,3030
birmingham,1/1/19,3030
south bend-elkhart,4/1/19,3008
idaho falls-pocatello,10/1/18,2980
little rock-pine bluff,11/1/18,2980
green bay-appleton,5/1/19,2980
duluth-superior,5/1/19,2980
roanoke-lynchburg,9/1/18,2980
savannah,1/1/19,2980
lexington,5/1/19,2965
yakima-pasco-rchlnd-knnwck,3/1/19,2954
